,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
1,31.52575242,11.34003593,37.03951365,3.811248171,443.9656268
2,31.86274111,14.03986726,37.02226899,3.738225173,556.2981412
3,33.25823783,11.51494907,37.1280395,4.662845304,549.1315733
4,33.8777793,12.51766629,37.15192066,2.669941624,487.379306
5,33.02502014,12.50421981,37.64583879,4.051382465,561.516532
6,34.14039343,11.56852664,38.91874854,4.082855279,537.8252823
7,32.67515451,12.59419407,37.68387537,2.571777835,444.582165
8,33.67402748,12.96889313,37.33310742,3.229450904,542.4124767
9,33.35687434,13.45212896,38.50300885,3.318822279,549.0082269
10,33.71065306,13.66474788,37.72438616,1.36267408,439.0747667
11,31.30919264,11.94717532,36.19083324,3.205529765,432.7207178
12,32.5367749,11.12136606,36.97937237,4.129254688,510.5394217
13,33.70815341,14.32565494,35.72182733,3.634340224,626.0186727
14,33.7016052,11.56402237,37.67321037,4.716104987,576.8025474
15,31.93654862,11.81412829,37.14516822,3.202806072,427.1993849
16,32.33263707,11.54876144,38.57651555,4.773503047,532.7174857
17,31.8209982,10.77107406,37.27863979,3.519032434,424.675281
18,31.12397435,12.38651626,35.63211222,4.288486771,486.9470538
19,35.37187609,10.5724666,36.86218335,4.198349061,537.9157529
20,32.60790272,13.67724584,37.7446997,2.871947536,530.3624689
21,31.81248256,10.88692118,34.89782769,3.128638856,392.810345
22,32.1253869,11.73386169,34.89409275,3.136132716,457.8476959
23,33.12239998,11.509048,37.25305774,3.182329732,452.1226251
24,31.42522688,13.27147504,37.23984661,4.02210291,530.7667187
25,33.01954799,10.63456132,37.49669015,4.646119977,501.8744303
26,33.62530726,12.9882206,39.67259096,3.969417759,581.7987977
27,35.03744996,11.93593497,35.78392374,3.310150347,538.9419745
28,33.26463207,10.73213134,36.14579171,4.086566338,478.2621264
29,34.33075044,13.72245368,35.77311639,2.90900846,558.4272572
30,33.61256335,11.470565,37.06168877,3.802511439,506.42386
31,32.76245596,10.95235338,37.64629179,4.019470352,473.3604956
32,33.45430193,11.01675564,37.63731096,4.137000388,511.0387861
33,32.65462161,11.05232365,37.63300942,4.717102513,501.7492333
34,33.90271779,11.66886651,37.34126616,4.25698329,567.4750105
35,32.87847437,13.03253498,37.87095205,4.693732058,610.1280331
36,33.06644066,11.67322925,37.84065508,2.727209454,442.7228916
37,34.55576799,12.17052542,39.13109673,3.663105491,549.8605905
38,31.94539575,12.96576148,36.9663889,6.076653638,657.0199239
39,33.15417579,11.88749413,36.2650007,2.602287112,444.9665517
40,31.81861657,11.22654566,35.66993517,3.755869389,446.4186734
41,32.69239222,12.29651768,36.95155521,1.825884669,424.1854943
